,respop72018,CITY,STATE
693,79707,pharr,TX
694,288061,plano,TX
695,55018,portarthur,TX
696,120981,richardson,TX
697,70981,mansfield,TX
698,398112,arlington,TX
699,104576,wichitafalls,TX
700,964254,austin,TX
701,261639,laredo,TX
702,106586,lewisville,TX
703,106244,leaguecity,TX
704,76999,cedarpark,TX
705,77024,baytown,TX
706,50314,littleelm,TX
707,149103,killeen,TX
708,81647,longview,TX
709,255885,lubbock,TX
710,118428,beaumont,TX
711,56111,leander,TX
712,116702,provo,UT
713,87178,st.george,UT
714,74149,southjordan,UT
715,116046,westjordan,UT
716,77303,layton,UT
717,97521,orem,UT
718,200591,saltlake,UT
719,136401,westvalleycity,UT
720,60192,taylorsville,UT
721,96901,sandy,UT
722,51619,logan,UT
723,61270,millcreek,UT
724,66037,lehi,UT
725,87325,ogden,UT
726,94632,portsmouth,VA
727,228783,richmond,VA
728,242634,chesapeake,VA
729,160530,alexandria,VA
730,54033,harrisonburg,VA
731,134313,hampton,VA
732,91185,suffolk,VA
733,178626,newportnews,VA
734,244076,norfolk,VA
735,53917,leesburgtown,VA
736,82126,lynchburg,VA
737,99920,roanoke,VA
738,450189,vabeach,VA
739,90665,bellingham,WA
740,51908,burien,WA
741,81905,auburn,WA
742,147599,bellevue,WA
743,93884,yakima,WA
744,102153,renton,WA
745,82943,kennewick,WA
746,56752,shoreline,WA
747,219190,spokane,WA
748,99703,spokanevalley,WA
749,60538,lakewood,WA
750,52555,olympia,WA
751,50718,lacey,WA
752,89557,kirkland,WA
753,129618,kent,WA
754,65733,sammamish,WA
755,744955,seattle,WA
756,69779,marysville,WA
757,216279,tacoma,WA
758,97044,federalway,WA
759,111262,everett,WA
760,74778,pasco,WA
761,183012,vancouver,WA
762,57303,richland,WA
763,67678,redmond,WA
764,47215,charleston,WV
765,66729,oshkosh,WI
766,77432,racine,WI
767,592025,milwaukee,WI
768,59492,westallis,WI
769,51567,lacrosse,WI
770,258054,madison,WI
771,72549,waukesha,WI
772,100164,kenosha,WI
773,104879,greenbay,WI
774,68866,eauclaire,WI
775,74526,appleton,WI
776,64565,janesville,WI
777,63957,cheyenne,WY
778,57461,casper,WY
